City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,norman wells,75,CA,1525165200,60,65.28,-126.83,39.2,5.82
88,lamesa,90,US,1525166100,77,32.74,-101.95,66.2,13.87
89,narsaq,75,GL,1525164600,74,60.91,-46.05,30.2,11.41
90,edson,75,CA,1525165200,55,53.59,-116.44,41.0,9.17
91,buritis,24,BR,1525167848,78,-15.62,-46.42,63.78,3.6
92,severomorsk,20,RU,1525165200,41,69.07,33.42,39.2,6.71
93,aksu,40,KZ,1525165200,40,52.04,76.93,51.8,22.37
94,reconquista,56,AR,1525167849,95,-29.14,-59.64,68.37,10.98
95,shimoda,0,JP,1525167849,88,34.7,138.93,69.18,5.84
96,saint-philippe,90,CA,1525166940,100,45.36,-73.48,44.6,4.05
97,kapaa,1,US,1525164960,93,22.08,-159.32,66.2,5.82
98,coxim,0,BR,1525167850,81,-18.5,-54.75,67.83,3.38
99,veraval,40,FR,1525165200,81,49.65,0.71,48.2,6.93
100,roald,0,NO,1525164600,81,62.58,6.12,53.6,14.99
101,bilma,0,NE,1525167852,14,18.69,12.92,104.1,3.71
102,torbay,90,CA,1525165980,93,47.66,-52.73,35.6,5.82
103,sao joao do piaui,36,BR,1525167853,74,-8.36,-42.25,75.48,9.19
104,derzhavinsk,68,KZ,1525167567,55,51.1,66.31,55.5,14.79
105,hobart,0,AU,1525163400,34,-42.88,147.33,64.4,4.7
106,lansdowne,32,IN,1525167854,65,29.84,78.68,76.11,0.92
107,mahebourg,75,MU,1525165200,65,-20.41,57.7,82.4,13.87
108,deputatskiy,0,RU,1525167628,81,69.3,139.9,28.41,9.31
109,tripoli,20,GR,1525164600,39,37.51,22.37,78.8,2.37
110,yafran,0,LY,1525167855,36,32.06,12.53,75.21,17.47
111,noumea,75,NC,1525167000,88,-22.28,166.46,66.2,2.24
112,calvinia,0,ZA,1525167857,37,-31.47,19.78,69.36,4.72
113,rawson,44,AR,1525167857,66,-43.3,-65.11,44.34,12.66
114,stauceni,0,MD,1525165200,38,47.09,28.87,77.0,8.05
115,moose factory,75,CA,1525165200,97,51.26,-80.61,35.6,5.82
116,tazovskiy,8,RU,1525167859,95,67.47,78.7,11.49,10.54
117,dmitrovsk-orlovskiy,0,RU,1525167859,51,52.51,35.15,75.03,15.46
118,adrar,76,DZ,1525165200,14,27.87,-0.29,75.2,11.41
119,morondava,0,MG,1525167860,62,-20.3,44.28,88.62,5.5
120,khatanga,88,RU,1525167576,97,71.98,102.47,18.33,12.33
121,okhotsk,76,RU,1525167592,78,59.36,143.24,34.98,3.49
122,anshun,68,CN,1525167861,88,26.25,105.93,69.9,4.61
123,nushki,44,PK,1525167862,22,29.55,66.02,93.48,5.28
124,kamaishi,0,JP,1525165200,53,39.28,141.86,71.6,4.7
125,sao felix do xingu,64,BR,1525167938,100,-6.64,-51.99,72.78,2.15
126,ofaqim,32,IL,1525167938,69,31.31,34.62,73.68,12.1
127,castro,92,CL,1525167567,100,-42.48,-73.76,47.31,4.16
128,tolaga bay,92,NZ,1525167939,94,-38.37,178.3,58.56,13.78
129,tiksi,88,RU,1525167638,93,71.64,128.87,37.68,19.71
130,vrangel,76,RU,1525167750,95,42.73,133.08,44.97,2.37
131,san cristobal,90,EC,1525165200,93,-0.39,-78.55,51.8,5.82
132,tilichiki,92,RU,1525167563,90,60.47,166.1,30.39,1.92
133,miramar,0,CR,1525165200,64,10.09,-84.73,71.6,20.8
134,carnarvon,0,ZA,1525167609,42,-30.97,22.13,67.29,10.09
135,jiazi,40,CN,1525165200,74,19.61,110.49,87.8,4.47
136,saskylakh,68,RU,1525167645,95,71.97,114.09,39.21,11.65
137,piotrkow trybunalski,0,PL,1525167000,56,51.41,19.7,69.8,5.82
138,anloga,40,GH,1525165200,70,5.79,0.9,87.8,8.05
139,pucara,75,BO,1525165200,72,-21.7,-64.2,66.2,2.04
140,karasburg,20,NA,1525167944,35,-28.01,18.75,76.74,8.75
141,abu samrah,0,SY,1525167945,100,35.3,37.18,71.25,5.73
142,nishihara,1,JP,1525165200,40,35.74,139.53,75.2,14.99
143,grand gaube,75,MU,1525165200,65,-20.01,57.66,82.4,13.87
144,port hedland,0,AU,1525165200,62,-20.31,118.58,86.0,11.41
145,santa fe,80,AR,1525167946,97,-31.62,-60.7,61.26,15.9
146,la ronge,40,CA,1525165200,55,55.1,-105.3,33.8,5.82
147,beaverlodge,75,CA,1525165200,80,55.21,-119.43,39.2,11.41
148,beringovskiy,76,RU,1525167580,91,63.05,179.32,29.58,2.71
149,sao filipe,0,CV,1525167570,95,14.9,-24.5,71.43,21.05
150,copiapo,12,CL,1525165200,93,-27.37,-70.33,51.8,5.82
151,hazro,75,TR,1525164600,56,38.25,40.78,73.4,2.24
152,prince rupert,75,CA,1525166040,93,54.32,-130.32,42.8,3.36
153,yarmouth,40,GB,1525166400,71,50.71,-1.5,51.8,12.75
154,alofi,24,NU,1525165200,94,-19.06,-169.92,77.0,4.7
155,ancud,92,CL,1525167562,98,-41.87,-73.83,50.73,5.5
156,yartsevo,24,RU,1525167951,52,55.07,32.69,73.23,15.79
157,comodoro rivadavia,0,AR,1525165200,46,-45.87,-67.48,50.0,5.82
158,byron bay,75,AU,1525165200,64,-28.65,153.62,68.0,8.05
159,cockburn town,88,TC,1525167698,100,21.46,-71.14,78.0,17.47
160,sola,75,NO,1525166400,75,58.89,5.65,46.4,4.7
161,cidreira,48,BR,1525167953,96,-30.17,-50.22,68.1,4.16
162,hervey bay,68,AU,1525167953,91,-25.3,152.85,74.13,17.13
163,avarua,20,CK,1525165200,88,-21.21,-159.78,75.2,5.82
164,banjar,56,ID,1525167954,68,-7.37,108.54,83.04,3.94
165,iqaluit,75,CA,1525165200,60,63.75,-68.52,8.6,8.05
166,airai,92,TL,1525167545,94,-8.93,125.41,70.53,2.15
167,mareeba,75,AU,1525165200,94,-16.99,145.42,69.8,8.05
168,suntar,0,RU,1525167955,41,62.16,117.65,56.76,10.2
169,pierre,90,US,1525164780,81,44.37,-100.35,44.6,9.17
170,rey bouba,48,CM,1525167956,88,8.67,14.18,80.43,4.16
171,dingle,44,PH,1525167688,64,11.0,122.67,86.37,11.77
172,nanortalik,68,GL,1525167957,92,60.14,-45.24,30.48,22.84
173,qaanaaq,12,GL,1525167559,69,77.48,-69.36,-2.19,8.19
174,altay,80,CN,1525167957,45,47.83,88.13,55.59,3.04
175,luang prabang,40,LA,1525165200,44,19.89,102.14,95.0,4.7
176,mporokoso,0,ZM,1525167958,47,-9.37,30.12,80.52,11.21
177,meadow lake,20,CA,1525167775,34,54.13,-108.44,41.73,8.75
178,mogok,0,MM,1525167959,59,22.92,96.51,81.87,2.15
179,marivan,12,IR,1525167959,57,35.52,46.18,66.48,1.7
180,chillicothe,1,US,1525166100,65,39.33,-82.98,44.6,4.61
181,clyde river,90,CA,1525166940,92,70.47,-68.59,14.0,17.22
182,fort nelson,40,CA,1525165200,52,58.81,-122.69,42.8,6.93
183,kahului,40,US,1525164960,93,20.89,-156.47,66.2,4.16
184,nuevo imperial,0,PE,1525167961,91,-13.08,-76.32,60.36,0.36
185,idil,75,TR,1525165200,31,37.34,41.89,78.8,6.93
186,sioux lookout,90,CA,1525165200,93,50.1,-91.92,39.2,3.36
187,manono,44,CD,1525167963,52,-7.3,27.4,87.27,7.4
188,nakambala,0,ZM,1525167963,52,-15.83,27.78,77.1,13.78
189,vuktyl,64,RU,1525167964,58,63.86,57.31,36.33,6.29
190,aluksne,20,LV,1525167964,85,57.42,27.05,68.55,13.22
191,mutata,92,CO,1525167964,93,7.24,-76.44,64.41,1.7
192,la asuncion,76,EC,1525167965,94,-1.64,-78.74,43.8,1.25
193,nuevo progreso,75,US,1525166100,83,26.05,-97.95,78.8,9.17
